marker	r
CSF1PO	0.00153
D1S1656	NA
D2S1338	0.00103
D2S441	NA
D3S1358	0.00128
D5S818	0.00116
D7S820	0.00116
D8S1179	0.00159
D10S1248	NA
D12S391	NA
D13S317	0.00142
D13S631	NA
D14S299	NA
D16S539	0.00109
D18S51	0.00221
D19S433	0.00075
D21S11	0.00147
D22S1045	NA
FGA	0.00319
PentaD	0.00093
PentaE	0.00135
TH01	0.00009
TPOX	0.00012
vWA	0.0017
