marker	r
CSF1PO	0.002021
D1S1656	NA
D2S1338	0.001526
D2S441	NA
D3S1358	0.001691
D5S818	0.001742
D7S820	0.001348
D8S1179	0.002031
D10S1248	NA
D12S391	NA
D13S317	0.001743
D13S631	NA
D14S299	NA
D16S539	0.001127
D18S51	0.002530
D19S433	0.000745
D21S11	0.001709
D22S1045	NA
FGA	0.003713
PentaD	0.000259
PentaE	0.000260
TH01	0.000070
TPOX	0.000130
vWA	0.003258
